Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,global_sales,Rank,decade,log_sales
Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74000000000001,1,2000.0,1.9177155165594935
Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,2,1980.0,1.604657972047871
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.830000000000005,3,2000.0,1.5542468081661107
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,4,2000.0,1.5185139398778875
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.380000000000003,5,1990.0,1.4966529392509178
Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.259999999999998,6,1980.0,1.480868923687168
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.009999999999998,7,2000.0,1.4772659954248526
Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.009999999999998,8,2000.0,1.462547728802664
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.61,9,2000.0,1.4565178578052627
Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,10,1980.0,1.4519398693651029
Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.75,11,2000.0,1.3935752032695876
Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.43,12,2000.0,1.3697722885969628
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.09,13,1990.0,1.3634239329171762
Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,14,2000.0,1.3564083270389813
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,15,2000.0,1.3424226808222062
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,16,2010.0,1.338854746252323
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.39,17,2010.0,1.330210784571528
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.810000000000002,18,2000.0,1.318272080211627
Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.62,19,1990.0,1.3142886609474977
